,komentar
559,Celananya miring mbak kelihatan belahannya tolol
560,Cowok2 gak bisa nafsu lihat kak lilu malah mau muntah
561,berapa lipat Lina perutnya bisa jepit talenan gak
562,"Dosane dimana mana di YouTube, di FB, di IG, di Twitter, pokok tingkat level langit 7… cepat taubat sebelum mati"
563,Semakin kita menghina bully semakin dia banyak duit . Karena dengan cara yang begini dia dapat uang dari konten uang haram
564,kemana rasa malunya jangan jangan dijual
565,‚‚itu celana dalam pinggirannya kelihatan dan pas renang baju renangnya melorot gitu  kelihatan bh nya goblok
566,Aku jg kirain aku sendiri liat yang hitam2 di sekitar selangkangannya
567,Ka lin.. emang kutang nya itu banyak di toko baju renang yang bagus loh ga mesti pake kutang
568,bra mu ituloh mbak nyeplak
569,jatuhnya bukan sexy tapi norak2 gimana gitu
570,Coba diet biar kalau pakai baju minim2 itu enak dilihat gak meleber kemana mana lemaknya
571,pakaiannya gak cocok di badan tapi tetap aja di pake emang sengaja jadi bahan bully..
572,"Sumpah, cakepan ibu ibu yang pada minta foto, artisnya malah burik jelek banget"
573,Mau ya ibu2 yang berhijab foto Sama karung goni wkwk
574,coba beli BH yang Mahal jangan pakai BH yang 25 ribuan terus dan sedot lemak itu lemak mu banyak
575,Kalau pakai otak ya gak akan makan babi‚
576,endorse pencerah kulit sedangkan kulitnya dekil dan masih hitam 
577,lucu banget seketika jatuh harga diri seorang dokter yislam
578,tombol mau hujat
579,Ketawanya apa banget sih virus itu kemana mana
580,idih tetap mandi lu bang dekil amat
581,"Gak respect lagi sama mba lala sama sus rini, malah lepas hijab mau blokir aja lah"
582,muka sama wajah nya aurel beda banget warna nya‚ bedak nya jauh lbh putih drpd warna badan nya
583,Cewek banyak tingkah
584,"lipsticknya gonjreng gini ti, keliatan lebih tua"
585,"Team HALU anjing, lu yang bikin konten eh si Fuji yang dihujat, agak kesal saya sama perjodohan HALU"
586," Kasian hati busuk, hina org sampai segitunya, sadar lo tu jelek. janga sampai dapat karma nanti cacat dari atas kepala sm kaki baru bingung."
587,Numpang kentut doang ya lo hahahaha
588,Risih deh sama celine
589,"saya paling gasuka Celine deket"" sama Raffi, masih inget banget kode dari bunda Maia ke Mama Gigi mengenai Celine ini. Kemungkinan pelakor"
590,"Ga suka sm celine semenjak syuting bareng att di acara tv dia ketus banget sama att seolah2 att penuh dosa dia malaikatnya, eh sekarang semakin meresahkan sm raffi, gigi hati2 deh sm nih org takut jadi pelakor"
591,"Setiap foto sll deket si raffi deh,, bahaya ni harus waspada pelakor"
592,Duh kaget asli sumpah takut dosa julid tapi gimana iya kak omongan bunda maia bikin ku resah karna merusak rmh tangga org
593,PEDE BOROS BAPAKE... 
594,Ga habis fikir kenapa ada yang mau dinotice dengan cara nyakitin orang. Ya ampun gak tau malu goblok banget
595,jorok itu pakaianmu kelihatan belahan dada nya
596,kenapa bajunya semakin terbuka ya? Sengaja ya mau pamer? Biar viral?
597,Kontenmu loh Ki.... Gak mendidik gak bermutu
598,Edukasi sih edukasi tapi jangan menjatuhkan produk orang dong dok tau etikat bisnis gak sih?
599,"Dari awal saya dah tau dari mimik muka nya tuh anak dah gak benar, cuma jual kontes kesedihan supaya narik simpati warganet…"
600,"curiga mmg dia sbnrnya bikin cerita  sedih, biar di kasihani org2. kita yang berharap jg kecewa. tapi gelagat dah liat sprti itu si gak heran. dia manfaatin dokter"
601,ga habis pikir sma tuh bocah udah dibantu ga tau bersyukur sumpah bodoh banget pantas orang tuanya ninggalin dia
602, kamu itu pantas disebut anak kampang!1957:1957kurangajar sama orang tua gak tau diri pula
603,"Orang tuanya aja di jelekin apalagi orang lain, emang aneh itu anak"
604,"Anak labil sih, harusnya sebelum nerima bantuan seumur hidup, dara gak tau bersyukur gak tau di untung"
605,"si farel dia mah gak tau diri anjing, udah tuh gak tau bersyukur, pokonya dia mah udah kurang ajar banget. Dia tuh PLAYING VICTIM & manipulatif dia nangis"" buat dapat simpati/gk y paling biar dr. Richard yang kena hujatt!!!"
606,"sepertinya adek angkatmu lagi star syndrom dok, lepasin aja kalau emang gak mau dibimbing, gak ada niat sekolah maunya joget tiktok aja"
607,"Harusnya orang yang punya attitude bagus ngembaliin barang itu nemuin orangnya dan pamit secara langsung, ngomong baik baik. Bukan kabur kayak gituu, barang2nya ditinggalin di kos an. Udah miskin attitude jelek"
608,"Pulangin aja farel dok anak alay gitu gak usah di perjuangin gak tau bersyukur emang, , sumpah jijik tetap apa apa dah nangis sambil di rekam gitu aku paling benci sama orang yang ga bisa bersyukur sama se alay itu"
609,"Dia merasa CEO boneka, mau terima duit, tapi gak mau tanggung jawab"
610,kayanya yang ngga berhijab juga ngga gini2 banget bikin konten nya ini mengundang seksual laki laki
611,Kok bisa ya perempuan melecehkan dirinya sendiri? 
612,Kalau gak dibikin jera dia gak akan kapok karena keras kepala orangnya ini
613,"Mau pake hijab ataupun tidak pake, ini video ga ber etika dan ga bermoral"
614,"kalau mau konten bangetu silahkan aja, asal jangan pake hijab,kalau bawa2 simbol agama udah penistaan namanya,makan kerupuk babi ditempat halal aja ga boleh kan,terus yang gini ga ramai? diam aja ?standard ganda banget ya nitijen"
615,Bisa kena UU pornografi kan ini? Tolong dilaporkan biar ngga lepas terus orang ini dan bikin onar
616,"Saya aja malu liat videonya tidak pantas , yang nonton sekarang gak cuma org dewasa tapi jg bisa anak anak , please jadi konten kreator yang mendidik "
617,"Malu banget liat kayak gini tuh , gak suka!!!!!!!"
618,bukan soal agama.  tapi adab dan adat serta moralitas yang sdh hancur banget itu perempuan
619,TOMBOL YANG GA PEDULI
620,Dok @dr.richard_lee  di negri konoha yang udah ketauan korupsi bisa naik lagi jadi pejabat ya dok wkwk..
621,Emak nya udah di butain sama cinta. Sampai dzolim sama anak sendiri. Gak pantas disebut ibu ini
622,Emaknya harus diperiksa deh dok ada gangsayan gangsayan mental kayanya otaknya gak dipakai
623,Farel lo ngarep banget jadi artis.. Lu pikir gampang jadi artis. Ngaca dong muka kamu slay banget. Apa jangan2 kamu  mental  tempe banget @farel.aditya18
624,saya liat cara dia berpakaian ga banget sumpah Norak 
625,mobil mahal tapi gada uang parkir penyakit orang kaya gada duit receh
626,pukul aja Bikin koma juga baru adil
627,Makjleb kalimat *Dibesarkan pake duit haram gtu x ya* ‚‚ betul skali itu pekerjaan orang tuanya menghasilkan duit haram
628,makin kesini sering pansos gibah jadi malas deh padahal edukasinya di tunggu2 tapi malah ganti podcast dengan yang viral gakjelas
629,"Drama mulu dok, mending fokus aja review skincare abal2"
630,Keliatan anak lenjeh sok dilakiin wkwk
631,Lah pura akting aja kau rel biar orang kasian sama kau bermuka 2 di depan sedih di belakang nusuk
632, sok pura pura  lu yang kena mental. playing victim. UNRESPECT!!
633,"Muka Minta di Kasihani, di Kasih Hati. Eh Minta Jantung. Hati Muka Orang Pemelas kayak gini @farel.aditya18 , untuk @dr.richard_lee Kebaikan di balas dengan Kekecewaan"
634,"Dr richard ini kenapa celana nya selalu robek2 ya, banyak uang tapi style miskin"
635,"Dari cara dia ngeliatin, mandang dr. Richard, terus jilat bibir n senyum aja ya udah keliatan banget lah aura melambai lambai"
636,Mau tau gk ciri2nya: kalau ngomong lidanya suka terus keluar....perhatikan itu orang lgbt
637,Sebenarnya dia lagi di permalukan tapi ndak sadar ‚‚
638,dia justru mempermalukan diri sendiri dengan tampil disitu. udah benar lu ngumpet aja\
639,Saya sudah tonton dan benar2 sangat nampak dia kaum lgbt  tapi dia berusaha tutupi tapi justru bikin makin nampak bahwa dia itu kaum lgbt haha 
640,memalukan diri sendiri
641,kelihatan banget mukanya banyak berbohong agar dia tidak disuduntukan orang2...
642,kalau sampai dia bohong . Lu ngomong sm dokter. Dokter bisa bedain lu benar ambeien atau abis ngewe sesama lelaki
643,ini org2 pada mempermalukan diri sendiri di podcast 
644,"Jangan2 emang pengen lebih deket sama dr richard ini, hati2 dok"
645,"Gilingan, udah kaya gini masih aja pake buzzer, anjing. Bukannya bayar aja hak KARYAWAN. Emang benar2 NPD ketemu sociopath jadi cetar membahana yes, powerful duo."
646,Semoga bos yang tidak mau membayarkan gaji karyawannya kena azab
647,ingat waktu pesta lepas lajang ngemut roti berbentuk kontol wajah di lukisin bentuk kontol padahal pakek hijab..  Miris banget
648,Coba diingat2 pas cuci celana dalam mantan suami nya dulu suka ada yang aneh ngga wkwk
649,"Suami mu boti gay mba, kalau top masi doyan"
650,"Biasalah, berita gak di goreng ya mereka gak makan, kasihan "
651,Kok makin ilfeel ya liat inara  @noviariawati genit nya parah gestur tubuhnya meleyot ke lawan jenis gitu
652,ilfil banget liat keluarga ini.. ”
653,Nyindir ya cari sensasi lagi terkenal cuma beberapa hari bangga beda dengan sultan andara yang berjuang dari bawah dan awet sampai sekarang...
654,Dok mending  bikin konten skincare aja jangan urus rumah tangga orang kok aneh banget sih sekarang
655,gak bermutu bintang tamunya dok bodoh kali cari narasumber
656,geli banget sama mba jamet satu ini 
657,"Lain kali pilih pilih bintang tamu dok jujur kali ini aku jijik boro boro mau belajar,"
658,"dengan bangga menunjukkan negatifnya kepada orang lain. dan mengatakan seks bebas sudah biasa , walau di jaman sekarang , itu tidak bisa di toleransi , sedangkan dia sudah merusak imej Jilbab yang sesungguhnya . apa yang harus di ambil dokter. dari sy seorang emak2 yang anaknya nonton ini dan blng,,  tuh mah anaknya kaya gtu orang tuanya cuek aja . gak kayak mama,mbak pergi bentar gak berjilbab langsung di marah Mereka bukan inspiratif dokter tapi merusak dan memberi contoh buruk ke anak muda terutama kaum hawa.. maaf dan terima kasih"
659,Dia berhijab tapi kayak telanjang 
660,Dok jangan kek om botak. Lama lama mendatangkan bintang tamu yang ga berfaedah ga jelas podcast nya
661,"Ada yang murah, tapi bukan cabe.. Tapi perempuan murahan"
662,kalau aku jadi istrinya sih cemburu ya perempuannya seperti gatal dan nafsu
663,Beda kelas sih. Dr richard cocoknya wawancara gosip dan julid julid.
664,Saya hanya ingin mengingatkan Anda bahwa menjauhlah dari NM dan keluarganya karna dia membawa pengaruh buruk
665,Ternyata NM sampai sekarang masih memeras uangnya Toni… parah banget itu perempuan
666,Gila ga habis pikir. yang di sebelah muter balikin fakta nya jago benar.. Di sebut tony yang bawa2 laura ke konflik orang tua nya. padahal laura sendiri yang bilang dia gamau ikut konflik orang tua nya karena mau fokus sekolah. Eh sekolah nya gamau di biayain lagi. Laura mau coba Endorse di persulit. Tony yang mau bantu laura aja image nya di jelekin abis2an. Ga habis fikir..
667,"Untung udah gak sama Nikmir ,auto jadi tahanan rumah kalau masih bareng‚"
668,Udah kelar dramanya ya ‚.. saya unfoll dulu deh nanti kalau ada drama lg saya follow lg .. ‚‚‚‚‚
669,"Knp ya rada gak percaya sm cewe itu inget dia maki2 bunda corla sampai membabi buta begitu dulu kaya paling tau semua mulutnya jahat banget ,sekarang ga prcya sm dia .. "
670,Serem amat voice note minta bayaran seks  biar adil harusnya saling hitung siapa yang minta  seks dia yang bayar.  Ayo Om Toni diingat ingat siapa yang minta lebih banyak
671,"Day nikmir suruh beli baju noh, uangnya dah di balikin kan sama bunda corla. astaga. Malah ga pake baju‚‚‚‚"
672,"Palingan nanti setelah cerai sama niki balik lagi tuh ke agama asli nya, biasalah pansos"
673,Makanya jangan tinggalkan Tuhanmu sekarang kau kena karma nya dan di azab
674,Gaya lu tong pake mobil cewek ‚‚‚
675,Sok kaya
676,Malu gak sihh itu mobil siapa ‚‚‚ #mokondoo
677,Minimal hapus sih postingan barang barang punya nyai ‚ mokondo
678,kok postingan ini gak didelete sih.. malu pamer pake enda org‚‚‚ @mailsyahputra @dheahanifaputri @nikitamirzanimawardi_172
679,@nikitamirzanimawardi_172 's MINI COOPER ... LAKI MOKONDO !!!!!!!!!!!!!
680,Anda telah meninggalkan Yesus karena seorang wanita.. Berubah iman Anda karena seorang wanita... Apa yang Anda dapatkan? Situasi tidak bahagia & bajingan ..
681," lawak lo, sok2an bilang mau percaya saya mau gak, saya gak peduli, saya selo aja, ga bikin kulit saya berdarah2, tapi ngemis2 minta delete story nya Toni, komentar di non aktifkan pas live.. Sama diri sendiri aja terbiasa bohong, apalagi sama orang‚‚‚‚‚‚ wanita sakit"
682,Udah ditangkap kok pura2 bego ya?
683,"Berhijab tapi telanjang. Ditawar orang dia marah, tapi kelakuan sm muka minta ditawar"
684,Gak usah sok ngewakilin. Taik lu
685,Kelakuan aneka konten pas cosplay jadi lonte aja masih bertebaran sebagai jejak digital sok ngomong konten islami
686,bisa bisa nya islami di bawain ODGJ !!
687,pengen di hargai tapi dianya gapunya harga.
688,Perempuan islami ga ada yang pakaian nya bentukan kayak pakaian lo mbakk MALU dikit!!
689,"balik lg lu... masih punya urat malu lu?? Gausah sok bkin konten islam"" lah.. ga cocok"
690,"Ehh sinting, lu bilang wajar bikin konten makan eskrim dengan cara bangetu?? otak muu udah karatan ya."
691,Oklin ini janda ya?! atau msh lajang?! Kalau lajang nampaknya sudah tidak perawan
692,"Tolong jangan wakili kami, islam tidak butuh diwakili kamu. Jangan sok polos jangan pura2 nggak ngerti kamu sudah dewasa dan punya otak untuk berpikir, "
693,Lonte berhijab
694,Pernah punya malu gak si
695,"Yang kemarin dikritik masyarakat bukan cuma konten kamu tentang makan eskrim didepan kelamin pria saja, tetapi cara berpakaian kamu yang berhijab tetapi seperti TELANJANG, kalau balik lagi muncul dengan konten seperti ini ya sama saja masih mempertontonkan lekuk tubuh. Mana isi kontennya islami lagi  @oklinfia"
696,"Pakaian anda dulu di perbaiki ,pake jilbab tapi telanjang , malu"
697,kalau aku jadi Kaka ga bakal muncul lagi di sosmed pasti malu banget 
698,"Lemah lu , nangis depan kamera doang nanti juga lu berulah lagi"
699,"KEBERADAAN ISLAM DI INDONESIA AJA LU NODAIN, JAUH AMAT URUSIN ISLAM sampai KOREA. MINIMAL JAGA NAMA BAIK ISLAM DULU SUPAYA TIDAK DIPANDANG RENDAH AGAMA LAIN!!! ¿"
700,We pantek rugiin kehormatan jilbab aja lo
701,Lonte
702,"Butuh belajar wkwk kocak ,giliran gini bilang butuh  belajar padahal selama ini udah banyak yang ngingetin eh tapi lu makin suka karna tenar wkwk"
703,Kabur kan lo lonte!
704," benar nih mau di biarin lolos gini aja, seharusnya masuk penjara gak sih"
705,Pelaku penista agama nih kok ga dihukum secara adil?
706,orang begini jangan di follow lah
707,perempuan laknat . andai Umar Bin Khatab masih ada sampai saat ini pastilah banyak mayat tanpa kepala berserakan
708,"Ya allah... yang makan kulit babi ""dipenjara"" nenek butuh makan mencuri daun singkong ""dipenjara"" dia yang merusak moral dan membuka hawa nafsu org yang liat konten dia ""masih wara wiri"""
709,kalau saya jadi dia malu banget sumpah mungkin saya akan hilang dari medsos tapi beda sama orang yang emang gapunya malu muka tembok
710,Sampah
711,Kocak pemcitraan agama lu
712,"Mau sok sok nakal, tapi takut kena hukum. Jadi pekerja malam saja mendingan, daripada lo post ga senonoh. BUKA KERUDUNG LU ‚"
713,Duta lonte
714,"ga cocok, lebih cocok konten sebelum2nya yang liatin lekuk tubuh lu"
715,"Ayolah, jangan lemah seperti itu, coba tanya sama suhu @vip_siskaeeenya3 , saya follow anda karna ingin melihat konten anda yang sangat buat nafsu"
716,Duta nyepong inima
717,Bakar rumah oklin fia
718,"Ngehujat oklin sebagai penista agama tapi yang ngomong suka pacaran, buka aurat dan suka mabok""an dan yang melakukan itu orang islam  padahal itu semua udah termaksud penistaan agama"
719,kalau Dari dasar udah lonte itu dah susah Mau nutupin gimana juga ‚‚
720,Malu saya liat elu... Najiss... ‚
721,MANUSIA SETENGAH DAJAL!!!!!
722,sakit ni manusia emang
723,"Beginilah rupa manusia titisan dajal dan setan ,berhijab tapi aurat menonjol kemana2"
724,"MANA PISANGNYA YA GAK DI BAWAH, PAS KETEMU KAK AIMAN DI WAWANCARAI NANGIS MUKA SOK POLOS"
725,kalau masih ada yang ngebela dia fiks stress
726,kalau da dekat ini anak saya cubit2 uluhatinya nah @arizkadarwin saya jengkel sekali tingkahnya
727,"EH LONTE SEKIRANYA LU SADAR DIRI DONG MONYET, LU TAU ATURAN BERAGAMA ISLAM GAK SIH MONYET?"
728,Ntar jg gitu lagi wkwk dulu jg begitu Soalnya
729,Jalang
730,Mia khalifa indonesia ini tapi versi berhijab
731,Bakar oklin fia hidup hidup
732,Bunuh oklin fia
733,Bakar oklin fia hidup hidup
734,Tembak mati aja oklin fia
735,JABLAY MAU MAIN FILM PORNO
736,"udah yang udah jangan lagi, ngeri kayak artis porno"
737,Masih kebayang lo jilat es sama makan pisang bukan cuma jejak digital tapi rekam pikiran masih ada di kepala‚‚‚‚‚
738,Lagi nunggu film dewasa nya @oklinfia tayang di link terkunci ””” Comeon klin susul @vip.siskaeee ¸¸
739,"gak ada guna juga ternyata akun lu ,sesekali ada guna, jangan body montok mulu yang lu post pantek"
740,bACOT
741,Next emut apalagi Klin? ”
742,Ini tolol udah sampai ke dna sih
743, udah di hapus konten2 yang kayak porno wkwk
744,Setrum aja oklin fia
745,"Oknum penzolim kepercayaan , azab itu ada ”””"
746,Mana video jilat2 nya sama badan sexy mu tu ‚
747,TOBAT SEBELUM AJAL MENJEMPUT… DASAR DAJAL
748,Oh ini lonte nya
749,Tobat dulu saja jangan main sosmed
750,@oklinfia woy baca ni ..ga otak lu
751,LONTE KELUARGA LONTE
752,Minimal punya harga diri lah sebagai cewek. kalau lu mau atas sama bawah nonjol. Jangan pake kerudungan
753,tidak ber akhlak attitude noll”
754,Semangat lonte
755,Ditunggu pose ngangkang nya
756,Mungkin si oklin sudah phobia sama es krim coklat atas kontennya yang tidak mendidik sekali !!!
757,oklin br 19 taun udah jadi lonte anjing wkwk saya kira lebih tua dari saya
758,Mendingan kaya gini aja udah anjeng cocok jadi lonte
759,Pasti tetenya gatel pengen di post yang ketat ketat lg
760,UDAH GEDE MASIH TOLOL
761,LONTEKU 
762,Mau jd pelakor nya irish bella tah
763,Sange
764,Pengen bunuh binatang satu ini!
765,"Hey susu mu wi Lo, Pentil mu menonjol, di tutupi , laki laki sange lihatnya, dih jijik"
766,JABLAY PAKE TAS PALSU
767,Wanita dajjal
768,bajingan
769,vibe nya ani ani banget kak hehe
770,Lu itu islam atau ngaku islam buat bikin agamanya jadi jelek dimata org?
771,Pamerkan dong jilbobnya masa kalem
772,Punya only fans mbak??
773,Kena tunjuk peribadi baik dan tutup aurat sister. jangan seksi di sana ya sister ¸
774,Korea anti islam
775,Mirip wanita kematian
776,jijik
777,Aura nya. tetap LonTe ””
778,kok ada ya org muslimah tapi toket nya layak di alresiasi 
779,"di negara orang bukan islam pakai labuh , dekat negara sendiri negara islam pakai macam bukan orang islam , ketat nampak nenen susu .buat malu aja ‚bodo kali."
780,Apakah ini yang dinamakan pencitraan  netizen‚
781,"anjay malu2in agamanya go internasional dong, semangat kak mupuk dosanya"
782,Komentar kalian menunjukkan bahwa Islam itu tidak damai & terlalu memaksa.
783,Gimana gk diliatin teteknya aja gede
784,Anda cuma meniru ... PLAGIAT ...””
785,"Pertahanin lah pake yang begininya, pake pakean ketat tu kebanyakan buat bacol, aslilah"
786,Anjing lu klin lama2 ‚
787,Wanita terkampungan.. padahal orangnya bagus tapi kok jijik banget rasanya
788,"mba request pake kerudung yang di iket di belakang ,terus ketat duh kesukaan papa kia jilbob"
789,"Langsung open BO , gas”””"
790,Lobangnya udah gede udah bolong jd kontenya vulgar2 makalaum lah dah dicobain sana sini. Itu pasti karena disosmed saja udah bar bar gimana kalau ga disosmed pasti lebih2 pro main nya
791,Lonte
792,"Dia bukan muslim, cuman ingin menutupi kulit rambutnya yang berkurap dan tidak bisa disembuhkan, makanya dia seperti berhijab"
793,MUNGKIN DIA BERHIJAB BUAT NUTUPIN PITAK‚
794,ngentot lah apalagi masih nanya ’’yang mancing kalau dipancing diterima dong pancingan nya
795,udah GEDE MASIH TOLOL
796,Fix lonte
797,"Otak ngeres, mintanya disapu nih"
798,Ngewe lah ngapain lagi
799,@oklinfia hhh.. kalau mau nakal nakal sekalian kalau mau alim alim sekalian jangan setengah jadi cewek gaada harga diri sama sekali miris saya 
800,Ini mungkin yang dibilang rosul ciri wanita ahir zaman
801,Ngentot gangbang‚‚
802,Mending lu bugil aja jilbabnya dijual buat sewa guru les biar tau bodoh tolol lu dah sampai mana
803,Ngentot
804,colmek dong kak
805, kayanya kamu orang bayaran Zionis mau menjelek2 islam dengan cara berpakaian seperti itu semoga Allah SWT menegur anda dengan keras dan kembali ke jalan yang benar...... @nikitamirzanimawardi_172 semoga anda jg.
806,Ngentot yuk
807,abis ini ngonten makan babi ‚
808,"gausah minta maaf, ngentot aja sana.. outfit lu tiap hari makin kayak lonte"
809,Spek Jahannam ”
810,Bikini syariah
811,najis
812,mending jadi jablay mba
813,"DIA CAPER, SKIP"
814,"dia itu muslim, gk bisa buka kerudung itu karna di botak kepalanya sebelah habis di bacok anak STM kayanya"
815,berhijab ko vulgar
816,Jual badan berapa?
817,"dek ,, spon BRA mu kegedean .. "
818,"Jumpa om dulu nih kasi setoran memek, biar nanti di beliin mobil lagi :)"
819,pengen oleh2 memek karet cape coli pake tangan mulu‚
820,Penista Agama !!
821,Penista Agama
822,Berpakaian tapi telanjang
823,"Berhijab, tapi gk paham untuk apa dia berhijab. Kasihan ‚‚"
824,anjing ini mah
825,Dih gaada urat malu
826,iman tai lo
827,"gak pamer aurat, gak makan"
828,Berhijab tapi ngeplat bajune .. dikatain gak mau tapi cara berpenampilan dia menunjukan value dirinya itu macem mana
829,PASTI TETE NYA BAU ASEM
830,KAU NI APE? LONTE KE? ‚‚‚
831,Yuh bikin onlyfans aja
832,Susumu wi loh
833,"Gayanya modelan kayak jeje , anak jalanan juga tadinya mba? Dicocol dijalan ya biasanya? Kelakuannya mirip soalnya"
834,Kayak anjing birahi wajahnya
835,Binatang apa sih namanya yang sering keluarin Lidahnya
836,Lonte lonte
837,Woi apus lah ekpresimu lo tolol
838,Lidah lu kek lidak binatang
839,Ya Allah.. kalau mau fose seperti itu.. buka kain penutup kepalanya!!!!!.. jangan so'2an pake kerudung!!!!.. apa kepala kamu botak?????
840,Muka lo kek anjing kelakuannya juga sama
841,"Brp semalem mbak? Wkwk pasti murah, berapa ronde jadi lonte semalam"
842,bm banget dapat video bugil sama video ngentot nya ‚‚
843, we tolol lu punya mulut sAma jari Jangan tolol lah asal Bae lu jadi bocah!!
844,"Gak ada untungnya lu hidup malu""in aja"
845,Ini hapus juga soklin sumpah saya jijik lihat lidah loh yang menjulur
846,Manusia beriman ga mungkin foto dengan gaya anjing
847,Menjijikkan dikira pantes cantik masih banyak yang lebih cantik jual diri‚
848,Ih amit amit jabang bayik‚‚
849,Ga malu Lo?
850,Ini apa woi
851,JIJIK
852,Babi banget
853,Jijik liatnya
854,melet melet biar apa si lonte
855,Kek anjing muka lo ya wkwk
856,Lidahnya menjijikan persis anjing‘…›
857,Ih najis munafik
858,Hukum menjulurkan lidah itu haram‚
859,Melet meletin lidah kayak guguk /anjing
860,kalau dilihat  cocok ni jadi artis film porno
861,"Padahal umur udah cukup dewasa , tapi kok gak malu ya pose foto ngeluarin lidah"
862,lidah nya kek orang2 yang kena azab di sinetron hidayah 
863,"NAJIS, PENGEN saya BERAKIN LUDAH MUKA LO JABLAY"
864,najis
865,Yang komen kebanyakan cowo loh.. cwo aja jijik‚
866,hApus anjing udah minta maaf postingan masih yang jilat jilat ngakak
867,iyuh lidahnya menjijikkan
868,lidahnya hampir sama panjangnya kek lidah buaya ya
869,Pancet
870,Masih ada lidah nya wkwk\
871,Si anjing lagi melet 
872,birahi kek kucing w
873,Lonte berhijab
874,"Muak kalau lihat lidah di Melet2, di julur2 gitu"
875,Gejala awalnya kenapa ini musang bisa birahi
876,"Ini sih ga bakal berubah, sama aja. Sok nangis saja di depan kamera minta maaf, tunggu sebulan lagi pasti postingannya kayak kemarin2 lagi. kalau gak gitu, dia cuma mbak2 50an / malam"
877,Wajah lonte habis nyepong
878,"Nitip sendal jepit saya yah, kabarin kalau akun nya hilang lagi"
879,HAHAHA MUSANG BIRAHI
880,kontol
881,SI ANJING LAGI MELET MELET BAEE –•–•
882,LONTE
883,Oh pantes turunan iblis wkwk ..
884,panjang benar kayak lidah anjing
885,"ogah banget sama lo anjing, saya doain ada kuda yang narik jilbab lo"
886,Muka sangean anjing
887,"Orang kaya gini yang bisa diandelin cuma bool dan toket , kalau otaknya mah kosong"
888,Mukenye Kek KONTOL
889,Percuma berhijab lu binatang
890,"Cemen banget komentarnya di nonaktifin , cupu"
891,Ini jangan kasih ruang buat dia lagi penjarakan terus gimana sampai sekarang gak di penjarakan
892,Bibirnya mau saya jahit lo mbak
893,"Kenapa ga main dipornhub saja si, kalau emang doyan, dijamin video lu laku keras"
894,Hapus ini foto penista agama
895,Sih LONte... Mulai aktif‚
896,Oklin coba next makan tai juga
897,Konten gak bermutu. Orangtua lo kasih makan apa sih sampai lo bisa buat konten makan eskrim begitu??? ‚‘
898,OALAH. SI PENGUMBAR AURAT BERKEDOK JILBAB SUDAH AKTIF TOH.
899,Dih kerudungan sih ketat dada diumbar2 ngakak saya mendingan Luh kutangan saja dah geli saya lihat nya
900,tetek lu kaya peler gajah
901,"kalau bisa hapus aja semua post lu, lihat nya aja jijik"
902,Rezim goblok
903,Mukanya kampungan gasih wkwk
904,Sampah
905,Ga tahu malu‚
906,kalau masih bikin konten fix GA TAU MALU
907,Jadi artis bokep aja mba
908,Komenan penuh ejekan dan bullyan.. yakin masih di pertahanin ‚
909,wkwk jejak digital ngeri
910,Kaya lonte atau emang lonte??
911,Jilat es krim lagi dong
912,lebih murah ini mah dari michat
913,buat konten yang lebih viral dari kemarin lg biar seru
914,Lonte ku
915,Memalukan bngt lu jadi manusia
916,Lonte berwujud ukhti‚
917,Pro banget tutorial jilat kontol nya. Gak sekalian publish pas main. Pemersatu bangsa loh ‚
918,AYO UNFOLL BERSAMA GUYS
919,Haha kok dihapus video jilat2 nya ‚
920,Oplas dimana kak.. bagus wajahnya‚‚
921,HAHA PALSU
922,BaCOT BABI
923,haram
924,Pacaran haram goblok
925,apaan banget si komen nya dasar orang orang gamon tolol
926,"JAGA KETIKAN LU SEMUA GOBLOK, SOTOY BANGET LU SEMUA JADI ORANG,"
927, NGOMEN JELEK KAYAK MUKANYA yang NGETIK ANJING !!
928,Pelakor lagi makan apa
929,Najis
930,Sok imut Lo pelakor
931,Malu tai malu
932,Bersyukur lu azizah arhan bisa nerima masa lalu lu yang udah dipake mantan2 ups­
933,Udah jamet tukang rebut pacar orang
934,Pada iri  para haters udah mantan arhan baik baik aja kok  dia gak akan bunuh diri kan karna gak di halalin????‚
935,Lo punya duit Lo punya kuasa makanya Lo beli manusia
936,mba kamu ga cantik aneh mukanya
937,Pelakor tetap pelakor
938,"Curiga arhan punya utang ama keluarga ni cewek, terus terpaksa menikah­­"
939,Minimal ketek nya di urus mbak
940,Ketek masih item
941,JALAN JALAN UANG RAKYAT WKWK
942,cewe nakal ga cocok sm arhan ngevape pula terus yakin masih perawan‚
943,Jalan2 pke uang rakyat enak?
944,Baru kali ini ada cewek baru di putusin dan langsung di tinggal nikah tapi dihujat orang-orang sakit jiwa 
945,"PADA BILANG ""KEK TANTE LC"" GINI YA EMANG AZIZAH SALSA GAK PERNAH PAKE BAJU TERBUKA MATA LO KEMANA"
946,"norak lu yang nyalahin zize , gini deh kalau emang hubungan shella dan arhan lanjut emang lu semua tau endingnya"
947,Lah dia mh sengaja di aktifin biar ada yang ngundang podcast teruss jual cerita sedihnya
948,move on tolol. Mereka udah nikah
949,Tante Tante muka lu
950,"Judul film yang cocok buat mbak sell ""butuh jasa move on kelilingnya mbak‚"
951,gausah sok merasa paling tersakiti deh mba‚
952,caper lol
953,Awas nanti komenan kalian dihapus sama si mba gamon
